"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc002qsf.1","A1BG","0.15553154115776688","0.07759025016939439","0.003785068622466098","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc009zgj.1","A2M-AS1","0.7895102726821804","2.2317658269035676","0.0005963373746322606","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc001ezm.1","AC2","0.03445004064084549","0.010029941151298117","0.00658504259841282","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc003dml.2","ADAMTS9-AS2","0.11381915375383168","1.730006871470977","0.00026700289365299765","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc002kes.2","AF075112","0.18219130805402514","0.030346143968745472","0.004595458378336693","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc011egv.1","AF086258","0.656983301433384","0.03708044265836806","0.000000004713230643970304","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc003bqj.1","AF279782","0.0926743404636671","0.016831319884774442","0.007525718169669694","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc003qgq.1","AJ606316","0.05323075702733115","0.19565772416456345","0.0030905625738837797","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc002uix.1","AK002090","0.6699463890245495","0.10664479018486568","0.000031067820382025875","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc002fcj.1","AK021563","0.4048217434117357","0.11418728329523652","0.000035040086417491134","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc002esn.1","AK021876","0.5725967584694203","0.2881891776031573","0.0012138739341739447","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc002zks.3","AK022914","2.2379460006184604","0.3282419125472044","0.0000004684325768310848","TPM"
"Carcinoma of bladder","Bladder urothelial carcinoma - Stage IV(129)","Bladder urothelial carcinoma (adjacent normal)(19)","uc003tha.1","AK023033","0.44114399650850544","0.09988706834076846","0.003929645366033254","TPM"
