"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010wuk.1","AATK-AS1","0.005788966211622546","0","0.000019029650236240472","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc009ypx.2","AB429224","0.05241921990358139","0","0.00034430383595992483","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001ezm.1","AC2","0.05795435173245967","0.00199972303727359","0.000000935367584329259","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003aad.1","ADORA2A-AS1","0.18114990191615232","0","1.0075534535078185e-25","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003xhi.1","AF086219","0.00812320848756809","0","0.00009021046533824876","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011egv.1","AF086258","0.16154041760280477","0","8.064820973164646e-18","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003kyl.2","AF086294","0.011482793196196429","0","0.0023899421212959797","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002vvo.1","AF279775","0.04432440947915799","0","8.74319532088599e-23","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003fjb.1","AF279780","0.7426822034803158","0.020188077058456898","9.789446776674945e-21","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003bqj.1","AF279782","0.15903897218227928","0","0.0000017133487762684439","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003psf.1","AF520419","0.0175877635087647","0","0.0022370075327280093","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003gkd.3","AFAP1-AS1","1.6610994889246735","0.015949183340338697","3.854600943601915e-19","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc004ccf.2","AJ011378","0.010180777299408849","0","0.0000004206722785753059","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003qes.1","AJ606328","0.02345757470192304","0","0.000000002470883877734806","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003qeq.1","AJ606330","0.6688107756388665","0.0114372219363333","0.0000000000005236122106524053","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc004crn.2","AK000470","0.5423761358186354","0.0639574822136805","0.0056544868146505564","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003ylb.1","AK001351","0.348136235977963","0.0110601053594838","0.000000012296445333212084","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002uix.1","AK002090","0.1044830298717336","0","0.000000068485344801618","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002nrh.1","AK022793","0.1174031852963018","0","0.0000007077874438792687","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002zks.3","AK022914","1.2907398284992868","0.1264541327849071","0.000037850637090081155","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003tha.1","AK023033","0.037324605257665115","0","0.002564789454342983","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003kiu.1","AK023417","0.0009243512514223157","0","0.00017352143739392408","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003pkm.2","AK024998","0.1356412415545495","0.029453341200819532","0.0000015112124640377945","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001bgg.1","AK025975","0.7048423030049888","0.04419134465935481","0.006855687528030193","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001hvz.1","AK054726","0.03831743129089124","0","0.00000003526412001574614","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002igh.2","AK055254","0.1484986911293889","0.0241422668975029","0.000000000000012285533326532765","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003ybn.2","AK055332","0.024959457409030425","0","2.2126969693007447e-20","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002fch.1","AK055364","0.09387178950644602","0.005765935676752133","0.000000000001658752025081465","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001vmb.1","AK055459","3.7734190096985385","0.029451232431908298","1.4540606167490456e-68","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003mak.1","AK055811","0.009751410954375699","0","0.00297549896327787","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001stq.1","AK055974","0.0606313908967155","0.0101069739705188","0.002304565548278288","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc004dfw.1","AK056105","0.027720029006440626","0","0.00016221171669992193","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002xwp.1","AK056432","0.06614370654039745","0.0046747006907514","0.00007332006317080504","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001abu.1","AK056486","0.17387740117204434","0.012800374928394831","0.000014747657260968978","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003pce.2","AK056584","2.2823710255355616","0.07621375507268124","0.00000594582814624986","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc009wxo.1","AK056657","1.2988111777786242","0.504409500248043","0.0030918381948989012","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001zvi.1","AK056686","0.1373768937017833","0.007317131510536833","0.0000030121210786682543","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001vji.1","AK056689","0.04180802162504711","0","0.000000000000113201422901092","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001mjn.1","AK056982","0.46160395285547795","0.09970851242399843","0.00855912682972907","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003ypf.1","AK057448","0.018836337364520846","0","0.0000000000023852380752240623","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001vii.1","AK057471","0.026050882186167745","0","0.004697671652452736","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003dku.1","AK090895","0.001083991234459492","0","0.0008980257462023383","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003fto.1","AK091265","0.25503953671402363","0","0.0000000000000021852992193793455","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001pxw.1","AK091275","0.01790320155705723","0","2.1054762403462101e-16","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003ppd.1","AK091365","0.004188035007916113","0","0.0054624112763586126","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003kjy.1","AK091866","0.32789555609621507","0","4.726500354083651e-27","TPM"
