"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc004bjl.1","1-Dec","0.014385190812886826","2.2062821609847237e-234","0.002786674235690474","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003iqs.1","1-Mar","0.008996092088334372","0","0.006740063512480263","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010ddr.2","10-Mar","0.017959088235739985","0","0.000027949577432585782","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002cxq.2","12-Sep","0.06121532310326211","0","0.000046040300666430426","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002cxr.2","12-Sep","0.03179532530315115","0","0.000000000000002320400431267006","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001hmq.2","2-Mar","7.491390648078733","7.545203768281167","0.00005571561281344662","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003bbs.3","3-Sep","2.4045530599071343","8.584052014375e-85","4.217141707015937e-52","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011apj.1","3-Sep","0.7366409562846865","0.052719623218387836","0.00041345456948717606","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003bbr.3","3-Sep","1.5458297938813041","2.19682952585511e-168","7.848151456016452e-39","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002vgb.2","4-Mar","0.14972986417654138","0.014064974721470643","0.0000006705216995793892","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011mtv.1","6-Sep","0.06369733000497754","2.413879597521255e-43","0.00000009296756694215738","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc004erw.2","6-Sep","4.580526704451583","3.603258500226767e-219","1.125315528308405e-82","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011mtw.1","6-Sep","0.34181954482687693","0.036436272288174934","0.002558721304911644","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010nqk.2","6-Sep","0.16161109012619462","1.349836379238016e-195","1.2040428848085636e-30","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc004ers.2","6-Sep","0.1883930623262315","2.0967940556057266e-44","0.000000000000004250414817476501","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003kxs.1","8-Sep","6.4958062491929205","0.000001247643079467623","1.1155947854130306e-49","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011cxi.1","8-Sep","2.4834903440360923","4.36436784986663e-25","8.743635735929613e-23","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001spx.1","9-Mar","5.966483406243965","3.32824382378058","0.0010132180104714165","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010wtm.1","9-Sep","2.0610270649412614","0.10714988478297834","0.00080785285379522","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002jts.3","9-Sep","31.737563352647356","1.8098193224486383e-19","1.1098925585889595e-152","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002jtx.1","9-Sep","0.9323939333979304","0.08888849854851627","0.009448364636879689","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001jji.2","A1CF","0.043473655912138955","0","0.005639025118850673","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001qvb.1","A2ML1","1.9054054175388608","0.029384691903733762","2.3136035889818385e-21","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001quz.3","A2ML1","21.050170696042592","0.005497961812436833","1.208633460824512e-50","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010sgm.1","A2ML1","21.605085022965813","0.2734253894301397","0.00236938207491706","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001qva.1","A2ML1","3.982106371894166","0.010367834644917735","2.5220162381411662e-49","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003ers.2","A4GNT","0.04482626262143547","0.004981813153557","0.009856813491150614","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011dgk.1","AACSP1","0.10463458667436705","0.009641098770927968","0.0037850744268881496","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003mjk.2","AACSP1","0.019107002395455396","0","0.000001426642144209743","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003eze.2","AADAC","0.8001535699320212","0.0055677790543591996","1.090612737029869e-22","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010fdk.2","AAK1","0.03682963714966634","0","0.0018628922595819535","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010fdm.1","AAK1","0.1971402519240132","0","0.000000000029870670709739223","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011knv.1","AASS","0.05789252217430087","5.402710397341932e-41","0.000000000002043376012593311","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc011knw.1","AASS","2.672109001750589","8.051332439762971","0.00874991773673549","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc001piq.1","AB231723","0.5360851625285692","0","0.000000000000015999375704657864","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010buh.2","ABAT","0.054260644545113444","0.00000004449458970843533","1.9080891022575258e-29","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003gae.2","ABCA11P","0.570953902944175","0.9438363988482567","0.0006535925778224812","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002vev.2","ABCA12","2.6339551468228843","0.007958234488163395","3.641929391944091e-71","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002vew.2","ABCA12","0.7022352492069116","0","2.0691504346891354e-29","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003tos.1","ABCA13","0.6718112392332192","0.0084970196856131","1.9298464854001497e-32","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003top.2","ABCA13","0.055005672514350144","0","1.3306972756696401e-25","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010kys.1","ABCA13","0.6311855334171309","0","3.6360699238562184e-19","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc003toq.2","ABCA13","0.7805647676036332","0.008322009597648233","1.6143900137609677e-24","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002cqa.1","ABCA17P","0.019966613408554462","0","0.00000016170168315983762","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc002cqc.1","ABCA17P","0.13362779089732396","0.011262326380366257","0.00008904426181852061","TPM"
"Cervical Squamous Cell Carcinoma","Cervical squamous cell carcinoma(305)","Cervical squamous cell carcinoma (adjacent normal)(3)","uc010nca.2","ABCA2","0.14918862638215272","0.013241085553943759","0.00008860437263223229","TPM"
