"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002avk.1","ADPGK-AS1","0.022183001015760394","0.0024376598764103675","0.0052510443889701676","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002xlx.2","AF143870","0.03496625022259237","0","0.003105776468140195","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003yqy.1","AK057332","0.014667661090595774","0","0.00888250801755357","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001dre.1","AK090700","0.0671796116629243","0.009215150995980479","0.0002676758089793567","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001fvj.1","AK093299","0.1344055415438164","0.03222976841289161","0.006485875622982089","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003ilv.1","AK096995","0.02201366106413822","0","0.00016425621962075652","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001dja.1","AK097722","0.02476916763617061","0.0019455491332483889","0.0003295976042087357","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003sqr.1","AK123300","0.18879709131324032","0.02993933809688403","0.00008297926644747924","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003ugw.1","AK124308","0.11903360537050119","0.008929576205285832","0.000011303907129653783","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002rll.1","AK124439","0.01271686931882643","0","0.0029646945915109604","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001wdt.1","AK125397","0.062170704615814726","0.007539819318574077","0.0007713865008747952","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001kdm.1","AX746544","0.03879020576263683","0.0012890096521338446","0.0005063557260362583","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003epo.2","BC007984","0.033365996031914764","0","0.0044544802080492465","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001yfs.2","BC035096","0.01534809317755891","0","0.000021824666185553994","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003ftp.3","BC038368","0.012861259231028823","0.0014505618726431","0.0070055286650302475","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003isy.1","BC040577","0.3694181094666022","0.11552601324991309","0.003432499423722816","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003dwj.2","BC042024","0.009096781064600669","0","0.0036827325857386826","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003pbz.1","BC050580","0.07104591650598978","4.018709131878744e-104","0.0025638586199196924","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002sro.2","BC066991","0.31036298327274453","0.061063314139483106","0.0026351661858634804","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc010avq.2","C14orf64","0.025102097193160793","0","0.007575680531899507","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002ycy.2","C20orf166-AS1","0.036483942451999374","0","0.0002300941198862288","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc010gok.2","C21orf88","0.046558595052092096","1.673597251645511e-205","0.001389515236496777","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002yyd.3","C21orf88","0.27961585267472583","0.03669761758697135","0.0026207595937289786","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003adi.2","CR936633","0.009367938965986599","0.000627825784175471","0.009920450426758834","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001nsd.2","DKFZP434K028","0.0696221885169789","0","0.00008393097175233117","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001kps.1","DQ372722","0.0845377329474276","0","0.0007102611240664967","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc009zgc.2","FAM66C","0.04034420413106971","0.002627466665450944","0.008478810441595666","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001ssj.1","FLJ41278","0.016424740135068273","0","0.00036963179813073445","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc010nzg.1","FLJ42875","0.7217211836405476","0.07911658608334665","0.00020412435240694588","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003tht.3","INHBA-AS1","0.017898013462954755","0.001402614214726","0.002632085098272831","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003zkd.2","KDM4C","0.07604954888810911","4.3014216211999314e-116","0.0062699259939459516","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003aho.1","KIAA1656","0.06362645073421551","0","0.000002648338329267901","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001ltt.1","KRTAP5-AS1","0.33174507757609084","0.05709297770368255","0.0003502873565487613","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001ist.2","LINC00264","0.015516907635674584","0","0.008364875070703225","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc010kgl.2","LINC00271","0.03478675205918854","0","0.00577912962115496","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002zdh.1","LINC00313","0.06328838509191037","0","0.000647729217109815","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc010hnr.1","LINC00698","0.05569168874370745","0","0.00147015717275037","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc001izy.2","LINC00839","0.2967285069922701","0.008487652522301077","0.00007258057219502793","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002rde.1","LINC00954","0.10214006183710923","0.028981287485423533","0.008863246858854219","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc002nzf.1","LOC100128682","0.010300860046246762","0","0.00002488441041121633","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003oof.1","LOC100131047","0.005850128893433424","0","0.006836443035969341","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003stf.2","LOC100506025","0.02407833741978762","0.0028733229466240445","0.005596742505666998","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc010oei.1","LOC284632","0.052772231726106275","0.003660867050784667","0.0000730532527919024","TPM"
"Colon Carcinoma","Colon adenocarcinoma - Stage I(74)","Colon adenocarcinoma - Stage IIB(9)","uc003whi.1","LOC285972","0.11192038685072324","3.624471982293434e-199","0.0002812631463080635","TPM"
