"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000620532.1","AC004076.5","4.627753333333334","0.9717932500000002","0.005672941011922759","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000437194.1","AL035610.2","8.13744","0.06706025","0.0012791234022742042","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000531363.1","BBOX1-AS1","7.912986666666668","0.30305812499999996","0.001304902027223739","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000435356.2","CTD-2026K11.6","0","1.37908225","0.007764665010138453","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000604954.3","CTD-2078B5.2","7.939103333333333","0.22592375","0.0001257586377593142","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000566143.2","CTD-2196E14.5","1.1924","0.031677625","0.00005099348803969565","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000567795.2","CTD-2574D22.4","4.695446666666666","2.4259825","0.005469264214475747","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000598322.1","CTD-3099C6.9","5.977526666666666","1.4658335","0.008248552800166037","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000411630.4","DANCR","422.95233333333334","28.3909875","0.0006829722954538018","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000623634.1","DNM1P41","0","1.24738975","0.0047158455449132705","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000229465.8","FLJ22447","7.762413333333332","38.4125625","0.008995698650639037","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000500113.1","KCTD21-AS1","9.244553333333334","0.974178875","0.0018458445876136434","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000427447.3","LINC00649","1.7971666666666666","0.188132125","0.0008550877236139061","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000620266.1","LINC00674","36.44690000000001","11.22657875","0.008992403949279158","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000504230.2","LINC00958","15.1073","0.9404264999999999","0.0028803747909268763","FPKM"
