"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000595302.1","A1BG-AS1","0.6410662941176469","0","0.0015418484022353593","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000620512.1","AC001226.7","2.9649098705882353","0","0.0007839649783245297","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000608014.1","AC002059.10","1.682267764705883","0","0.0024496005024148477","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000589603.1","AC002115.9","1.0108129411764706","0","0.004172503177979439","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000492040.1","AC002310.7","2.0832614941176475","0","0.005614442301765081","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000413796.1","AC002511.2","4.691487529411765","0","0.0006802264833553264","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000587325.1","AC002539.1","1.3695460823529413","0","0.0010193036825670247","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000419944.1","AC003986.6","0.21807307058823522","0","0.004584156795177863","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000416593.1","AC004012.1","1.1969777764705882","0","0.002200625337520535","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000598433.3","AC004862.6","0.2744609411764706","0","0.009450083202460536","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000584108.3","AC005154.6","2.8878703999999997","0","0.0020604508866217397","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000434399.3","AC005154.6","1.6006610823529417","0.0468596","0.006310280186391973","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000450473.1","AC005220.3","1.6646389176470586","0","0.0074321220730637","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000433873.1","AC005324.6","4.440142858823529","0","0.003809736995388385","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000433051.1","AC005324.7","3.3533431411764703","0","0.004212530594972886","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000566527.1","AC005592.3","3.3105225764705883","0.12858019999999998","0.008594825091425977","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000591432.1","AC005757.6","2.5286358000000004","0","0.0026843260818164034","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000591036.1","AC006116.21","2.230917458823529","0","0.0009224829901435943","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000601116.3","AC006129.2","2.027174588235294","0","0.0052995889434708865","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000452009.1","AC006159.5","3.819102941176471","0","0.0036924338757188947","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000443123.1","AC006227.1","1.2293923647058824","0","0.005971002154863214","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000598518.3","AC006262.5","4.130673517647059","0.0294966","0.000023742134829860815","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000507932.1","AC006296.1","1.1355019764705885","0","0.006545405071961735","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000419158.1","AC007359.6","0.43868052941176466","0","0.0008984613651119057","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000295052.3","AC007364.1","3.3771478470588234","0","0.001403171120104183","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000623667.1","AC007405.4","0.8316605647058823","0","0.001649545340467736","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000592680.2","AC007773.2","0.5509552235294118","0","0.0031167344401966278","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000446299.3","AC008175.1","0.43868052941176466","0","0.0008976854917396157","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000561669.1","AC009120.10","2.4520130941176475","0","0.00006409238391325318","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000620711.1","AC009120.6","12.900804858823529","0.0325828","0.008985011956434436","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000457110.1","AC009312.1","5.7310527647058835","0.06688340000000001","0.004342067597812612","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000469539.1","AC009403.2","2.9903941294117646","0","0.004635729347376059","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000425688.1","AC009495.2","0.3742837411764706","0","0.005658944395330994","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000606673.1","AC009502.4","1.1961206588235291","0","0.0011314580400284056","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000599041.3","AC010127.3","1.8940620470588234","0","0.008757071054417082","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000591311.1","AC010504.2","3.1566535176470594","0","0.004413309732728085","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000623459.1","AC011558.5","20.559206352941175","0","0.0002900354721276509","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000561657.1","AC012322.1","1.0593514235294117","0","0.0017615361311727293","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000425325.2","AC012354.6","0.7633077647058822","0","0.0054548511150173205","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000423367.1","AC015933.2","3.7998822352941173","0","0.004240540612877927","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000417039.3","AC016995.3","0.7973056588235294","0","0.0020220151148958193","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000432822.1","AC019055.1","4.519455258823529","0","0.0031456171680705604","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000424244.1","AC034228.3","1.331000482352941","0","0.00361614399005836","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000431827.1","AC053503.6","46.256970988235295","0","0.00012616301559016072","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000452381.1","AC064834.2","0.8942550352941179","0","0.002030154696167911","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000413954.1","AC064871.3","7.380884941176471","0","0.0005430719948315687","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000421112.1","AC064875.2","25.704294600000004","0","0.00040695269498698363","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000453706.2","AC068489.1","9.377000847058826","0","0.005849296570318558","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000417221.6","AC068831.10","2.902391952941176","0","0.0009427727463958304","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000620171.1","AC068831.16","2.7572156470588234","0","0.006646050065786996","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000414438.1","AC069277.2","1.4833778235294117","0","0.0011194646112230226","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000342990.3","AC069277.2","61.16498351764706","0","0.000603557449573857","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000615813.1","AC072062.3","1.657275952941177","0","0.008535513928656906","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000593735.3","AC073043.1","0.36714144705882346","0","0.00218264321807018","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000596255.3","AC073043.1","1.9702873647058823","0","0.007971258607655515","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000600604.3","AC073043.1","0.18573090588235294","0","0.006335692066876367","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000414126.1","AC073316.2","4.73253894117647","0","0.00003145133842439994","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000413182.3","AC073343.13","2.4802921647058827","0","0.00004823806927357429","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000606978.3","AC074391.1","1.6320225647058821","0.0245948","0.005613809240109673","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000447529.1","AC078842.4","2.8108866588235295","0","0.005246949006966286","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000431708.1","AC079613.1","0.7024738235294116","0","0.004287270529209246","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000429730.1","AC079767.4","2.731332823529412","0","0.0014302285682637518","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000450709.1","AC079779.4","4.562760623529412","0","0.0013914157104150985","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000439734.3","AC093590.1","1.7349706352941179","0","0.007965505162042136","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000462565.1","AC093627.9","3.5038346823529416","0","0.0006716579346092654","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000418963.1","AC093690.1","5.170734529411765","0.0812576","0.009217009132135084","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000417947.1","AC096574.5","0.33473528235294114","0","0.0053537210564077965","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000414300.1","AC096669.2","0.3218237882352941","0","0.005194926488525991","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000343987.2","AC096772.6","1.8224812705882354","0","0.0004854128317351772","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000595760.3","AC097467.2","1.5409774117647055","0","0.0036202138204697574","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000429343.1","AC097468.7","6.709473294117647","0","0.000014613283165457195","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000428980.4","AC098617.1","1.1199522235294115","0","0.0008073066647543915","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000446401.1","AC104653.1","1.8788019999999996","0","0.00555865762960537","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000431697.1","AC106053.1","1.2888216470588234","0","0.006171486241477211","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000416509.1","AC107079.1","3.591627035294117","0.0828576","0.0055755906789823105","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000425779.1","AC107081.5","2.252014388235294","0","0.0035005160268481487","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000417355.1","AC114803.3","13.924889294117648","0","0.000913699706278182","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000450746.1","AC116035.1","1.5235736470588235","0","0.004967322820485663","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000455974.1","AC123023.1","1.4194727058823529","0","0.009538798367146238","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000432047.3","AC127904.2","3.7624796000000007","0","0.0000341446463303122","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000578447.2","AC131056.5","12.676462988235295","0","0.0038692308268529186","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000415556.1","AC137723.5","0.35937490588235294","0","0.00643230144009743","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000619740.1","AC159540.2","7.463798294117647","0","0.0005891060105700064","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000565564.1","AF096876.1","4.564185882352942","0","0.001722148096241531","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000433344.1","AJ006995.3","0.6998964705882352","0","0.0026691326232348186","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000425010.1","AL157902.3","0.8111404823529411","0","0.003900217797038277","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000423922.1","AL162151.4","5.013314705882353","0","0.0007313123380770686","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000427911.1","AP000281.2","3.037750835294118","0","0.004769344508289297","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000438893.2","AP000356.2","8.976624847058824","0","0.00012893164764903414","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000416641.1","AP000432.2","4.101636470588235","0","0.0024888966884956745","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000441465.1","AP000474.1","0.9426737647058823","0","0.002484051386457182","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000444130.1","AP000705.7","5.9149020000000005","0","0.0006336317675227877","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000411956.1","AP001056.1","2.719266411764705","0","0.0000965933139749456","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000596385.3","AP001442.2","2.344993729411764","0","0.0000647100430625531","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000457565.1","AP001464.4","6.77109731764706","0","0.0002778819788595288","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000451618.1","AP001476.2","1.455860423529412","0.1023096","0.009438229975900478","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000429340.1","AP001596.6","0.8442777294117646","0","0.004172304311379522","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000526588.1","AP006621.5","12.132498705882353","0","0.0036198597656547566","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000447009.1","APTR","5.456536517647059","0","0.00033321641823054585","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000398043.2","APTR","16.601481458823528","0","0.0006178786194592877","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000416650.3","APTR","13.92417082352941","0","0.0004108966982676024","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000621011.1","ARHGEF26-AS1","3.118757764705882","0","0.00287166172171992","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000446442.1","ATP11A-AS1","1.869185070588236","0.15323959999999998","0.007852862637911085","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000624662.1","bP-21201H5.2","10.568236364705882","0","0.002410010408959092","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000623794.1","bP-2189O9.3","4.097779623529412","0","0.0032558376148316306","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000377320.3","C1orf200","0.6008674","0","0.009930458598649942","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000378252.1","C20orf187","3.426905411764706","0","0.009107153186467546","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000534991.3","C21orf119","32.739433294117646","0","0.0018755053876849655","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000400023.3","C22orf34","1.033156694117647","0","0.0007326259968186363","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000623638.1","CBR3-AS1","1.879226282352941","0","0.0038173490842068093","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000609192.3","CBR3-AS1","1.3051585764705882","0","0.0015837232657713355","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000535639.3","CD27-AS1","0.4658678352941176","0","0.00590728212016632","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000428828.1","CECR3","0.5352514705882352","0","0.002150869311098444","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000623541.1","CH17-340M24.1","1.912261764705882","0","0.005859432185844269","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000417218.1","CH17-437K3.1","4.2467243411764715","0.0379848","0.005394095571488652","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000623106.1","CH507-154B10.1","2.942502988235294","0","0.0002477838214251479","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000623165.1","CH507-154B10.2","10.670307035294119","0","0.0000022748986936458697","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000624519.1","CH507-154B10.2","5.91444068235294","0","0.000533596715421161","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000617746.2","CH507-24F1.2","1.8791103764705885","0","0.0013488636945133109","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000621909.2","CH507-254M2.1","1.8791103764705885","0","0.0013478791224735202","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000619960.2","CMB9-22P13.1","17.610986458823533","16.5861","0.009034473067834838","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000602743.1","COX10-AS1","9.056861764705882","0.0407062","0.000002443259111504807","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000428190.1","CSE1L-AS1","1.651613682352941","0","0.008033972315690387","FPKM"
"Glioblastoma","Glioblastoma - Proneural(85)","Glioblastoma - Proneural + Neural(5)","ENST00000425631.3","CSMD2-AS1","0.7031261176470588","0","0.004159770106145885","FPKM"
