"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000594950.3","A1BG-AS1","1.4215424193548385","0.11296244852941177","0.00001142725689822631","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000593960.3","A1BG-AS1","0.3686930967741936","0.049489051470588234","0.00006759735791595546","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000600686.1","A1BG-AS1","0.5370087096774193","0.01730429411764706","0.00016876071573851246","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000595302.1","A1BG-AS1","0.7620262580645162","0.06280833823529412","0.00001189202859536356","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000499762.2","A2M-AS1","0.7678017096774193","0.11597843382352942","0.006468038092051592","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000427153.1","ABHD11-AS1","0.21028329032258064","0.008868632352941178","0.00047506231179557775","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000608816.1","AC000068.10","0.3531800645161291","0.10791029411764706","0.0008550302515382617","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000431090.1","AC000068.5","0.19275241935483867","0.0627874705882353","0.0002993629827202607","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000607934.1","AC000068.9","7.838391612903226","1.9600401470588238","0.00000973308784957802","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000414227.1","AC000120.7","1.2453209677419355","0.12211843382352941","0.000013683366015179085","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000624029.1","AC000123.2","1.5636632258064513","0.30385926470588237","0.00002659670575278792","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000623124.1","AC000123.3","2.084576580645161","0.4456686764705882","0.000027161608642881754","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000418215.1","AC000123.4","1.6795423548387094","0.4875713235294117","0.00005060320385746898","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000620512.1","AC001226.7","0.09130699999999999","0.019822845588235296","0.0020406694235567753","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000608014.1","AC002059.10","0.32611474193548395","0.12957369117647058","0.00710399645198643","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000586962.1","AC002116.7","0.4678948387096774","0.09452125","0.00008766143558131985","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000473572.2","AC002116.8","2.6846764516129022","0.6114077205882352","0.000011056242593659703","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000589950.1","AC002117.1","1.950314870967742","0.09072055882352942","0.00008720650508671015","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000452741.1","AC002117.1","1.8158799032258064","0.2151772720588235","0.00006398141188086893","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000457283.3","AC002310.12","2.270049064516129","0.17166729411764706","0.00003614691190786797","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000569752.1","AC002310.12","0.39786787096774195","0.044286191176470584","0.0007919127211025997","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000624451.1","AC002310.14","1.2765338709677418","0.3362683823529412","0.0000810970191429043","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000589397.1","AC002398.13","1.367762129032258","0.10182588235294118","0.00013851635572930592","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000435695.1","AC002454.1","5.561679677419355","1.903518529411765","0.00041807713037823034","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000452050.3","AC002454.1","10.783775516129033","3.7631492647058824","0.00013847097810950457","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000424523.1","AC002454.1","2.084282","0.2408665955882353","0.0005982649508588087","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000419668.1","AC002454.1","0.4645056451612902","0.1197580294117647","0.0010197296312431411","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000441971.3","AC002456.2","0.23361490322580647","0.016196139705882354","0.0008451580316455807","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000412669.1","AC002456.2","0.21287958064516124","0.013657750000000001","0.0009553680266133316","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000457510.2","AC002467.7","0.7430419354838709","0.1487945294117647","0.00014249279271525398","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000440971.2","AC002467.7","0.38852716129032266","0.08055481617647059","0.00017201490679897465","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000609979.1","AC002467.7","0.5407269032258064","0.012193220588235295","0.0001882497863548838","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000621246.1","AC002550.6","1.1837226774193548","0.3609707352941176","0.00025147713718142557","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000433005.1","AC003075.4","0.6130444516129031","0.02964790441176471","0.0005533825321467478","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000446840.3","AC003090.1","0.052343096774193555","0","0.0060415644970906535","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000588097.3","AC003102.3","0.2323763870967742","0.008523330882352942","0.0014434003945686276","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000597755.2","AC003104.1","1.6724981290322583","0.4810613235294118","0.0003188104765933549","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000585280.3","AC003665.1","0.28996009677419354","0.028663382352941174","0.009889530188629847","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000451140.4","AC003665.1","0.46198774193548386","0.04939580882352941","0.00012227247187039214","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000411573.4","AC003665.1","0.4805468387096775","0.03475572794117648","0.00003828354849461727","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000599190.1","AC003682.16","0.3504032580645161","0.04939926470588235","0.0003062899914335891","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000457489.1","AC004041.2","0.05106935483870968","0","0.0034423350205613355","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000608733.1","AC004067.5","1.6296199032258063","0.3639555955882353","0.00018575618262768788","FPKM"
"Leukemia","Acute myeloid leukemia - Blood(22)","Cord blood cells(17)","ENST00000504082.1","AC004069.2","3.16793364516129","0.4128933308823529","0.000016487991060003903","FPKM"
