"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002qse.2","A1BG-AS1","3.604439687013125","4.2060876720124565","0.00481543993146059","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc009zgj.1","A2M-AS1","0.9922339479643468","1.9678395183817483","0.00000000000001272042703941511","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001ezm.1","AC2","0.0741924376992745","0.011947285638704053","0.0005885769672389326","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003dml.2","ADAMTS9-AS2","0.06623530636924996","1.2673252970451387","1.703973751177279e-26","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002avk.1","ADPGK-AS1","0.05533115230324497","0.2183554915930237","1.8388151328873396e-17","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001lln.2","AF086154","0.0615661553445291","0.30964950058281054","0.0000000004760274600786992","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc011egv.1","AF086258","0.5645676263241746","0.07560100421097347","0.000000019644717823409417","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001txf.2","AF086288","0.19613275702985164","0.5480347164570853","0.000000005271917667402434","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002egj.2","AF143871","0.19382786702924623","0.42375864176801215","0.00000007141767513518643","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002mqw.1","AF161365","0.10742168028067274","0.47055470031055024","0.0000008357955300242195","TPM"
