"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001kee.2","AGAP11","2.4959443968026935","0.2165212321760199","0.0008466195861709547","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc004crn.2","AK000470","3.874268972238175","0.2533174422124178","0.005538509173520273","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002nrv.1","AK075337","3.1492275742062503","0","0.0024611628808787465","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002iye.1","AK097658","0.9337035283886095","0.11655358998994655","0.0009429662317546739","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc003atl.1","AK097791","0.38471542430677796","0.12466970179841","0.007185970255095755","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002lsi.1","AK126693","0.7811180120560242","0.2659115799691961","0.006243312550365369","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002fqs.2","AK302511","11.804434429763743","1.9177706143679845","0.003013161920466524","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc010mnh.1","AK309896","4.165417382380709","1.0077578932174944","0.00248354786314642","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001abm.2","AK310751","8.048493455470018","0.3538146296552223","0.00017148299979642762","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc010paa.1","AK311108","0.29136529818657836","0","0.0025017759084398437","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002zuj.3","AL117485","0.10469815229819743","0.011497443648324395","0.005044275694911422","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc010qvj.1","AL137655","3.709198223127688","0.19394368630006276","0.0009555796449172515","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001egg.3","ATP1A1OS","1.6642249788196217","0.4234399045785636","0.009461016291814619","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc009whb.2","ATP1A1OS","3.3977149119418066","0.4391170073705816","0.006017556043140992","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002xfa.1","AX746683","0.3524130760249229","0.04971843523898755","0.0008088674743923112","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001lpz.2","BC031953","0.6040443303421471","0.07868399558437714","0.0029790389032186707","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001zjy.2","BC037952","0.16156985424433648","0.001345741900667289","0.009546555952169624","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002gyh.1","BC041488","0.22610564876493386","0.011721648317321766","0.005268307159286952","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc002sbr.2","BC071802","5.622373475164892","0.02565248807805581","0.0018759021232204482","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001ker.1","BC082979","1.1152632925409192","6.720587554784267e-235","0.005224647993673326","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001omi.1","C11orf72","0.6462621309812506","0.025416295983875136","0.00043274713971955064","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001wqf.2","C14orf23","0.13403814505457326","0","0.004225507437179687","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc010xai.1","CXADRP3","0.7573215070175026","0.0606061480245727","0.0004031040257498351","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc001hof.1","DQ599872","28.147797069186726","1.4312810732928276","0.0023572038547576583","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc003ufw.3","DTX2P1-UPK3BP1-PMS2P11","5.271501873661662","1.2689604031180282","0.009227948853551405","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc011buq.1","FAM157A","2.428669609982883","0.42654289750102486","0.00828647090338038","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc010uzs.1","FLJ00285","8.363773023973385","0.9817256834819345","0.0015822308209136136","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc010drm.2","FLJ45445","21.182652961090337","1.1837856984124513","0.0038007928727881333","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc010nlq.1","FTX","52.10205434172545","0.8770384346287032","0.00044355760522493215","TPM"
"Malignant neoplasm of colon with rectum","Rectum adenocarcinoma - Stage I(30)","Rectum adenocarcinoma - Stage IIIA(9)","uc004fcz.2","IDS2","3.926798722801509","0.4277204461121005","0.0014575259772914642","TPM"
