"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002kes.2","AF075112","0.13371084933640467","0","0.000000000001470231384281277","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001ltz.1","AF085962","0.01221110990683028","0","0.008867462656021938","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003bqj.1","AF279782","0.1014126693053733","0.014351611049476427","0.004771645035257984","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003gkd.3","AFAP1-AS1","4.5630291060637465","0.11494144616092204","0.00000033725408164060743","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002ubt.1","AK027541","1.0531961938897187","0.07989517279985513","0.00012919061638058725","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001mfz.1","AK055772","0.0013445663926732847","0","0.0049511986258048485","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001ihc.1","AK055803","0.01111793690218037","0","2.123001890166749e-20","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001qlq.1","AK056228","0.041870397431289376","0.00415327772642185","0.0008994875205736215","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002gyg.1","AK057473","0.2654268786637679","0","0.0000000032984864410236614","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003wzt.1","AK057515","0.0013919679541512758","0","0.0034926703687730974","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003gna.1","AK091889","0.0008357112950652597","0","0.0035104402987242924","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001sqq.1","AK093124","0.03592287680512963","0","0.0013949121274596716","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003jge.1","AK093362","0.21576088070646138","0.01135930217185635","0.00005196820143483518","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc004bcy.1","AK093363","0.002358624839391597","0","0.00028684865808800805","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001pkw.1","AK094117","0.5743092269151312","0.05091290917023557","0.000009943736582638668","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002rvu.1","AK094343","0.4203452337977321","0.04592951854235218","0.0000007604178892282675","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002bsu.1","AK094352","0.012893880458682127","0","0.0000025961206476034077","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002qxh.1","AK095310","0.045359974824195994","0.006014357449540447","0.0008231123966329554","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001tvk.1","AK096932","2.3437367618870826","0.06829466509186188","0.00006022944358556459","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001czt.1","AK097193","0.006911393571642831","0","0.0000017226120304384434","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003arg.2","AK097787","0.04005502270202095","0.0028690043087318752","0.008229605141123846","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001vih.1","AK098560","0.0018345824408044565","0","0.0020138019095082556","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002unc.1","AK123298","0.03436031083240414","0.005353402647024837","0.0036208152108723507","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc004esi.1","AK123976","1.7577899596364917","0.21481864969081327","0.000003180919302568015","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003hei.1","AK124272","0.0030392507528577014","0","0.00006430731918727333","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc010rul.1","AK124326","0.2153208008349779","0.10746451559895517","0.008074433619583323","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003iir.1","AK124399","0.2952723152656228","0.03149056645722133","0.0019712099798148094","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc001alp.1","AK125078","0.0070084697786137054","0","0.0033437905045832755","TPM"
