"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc004bjk.1","1-Dec","0.002957775366915947","0","0.0006949879898469901","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc010ywv.1","10-Sep","0.02925580721946691","1.5969978794272274e-104","0.0000009406767394526846","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003jfo.2","11-Mar","0.2134427151244475","0.015999623188944677","0.00003221024344211835","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc010itw.1","11-Mar","0.2902637975647562","0","0.00000000184586332455795","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003tqz.2","14-Sep","0.21474979045147657","0","0.006988658879156999","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002vgb.2","4-Mar","0.1483808445287932","0.032077173023117474","0.007412335914039674","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002iwo.1","4-Sep","0.3770737296626448","0.014727343555149774","0.000000010654933914449858","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc002iwm.1","4-Sep","0.19369729223394977","8.547180571735573e-114","0.0000000000000010336840826933117","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc011mtv.1","6-Sep","0.1669463422615985","1.1866144426266022e-29","0.0000000011163131668876905","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003kxu.2","8-Sep","0.034758497858041235","4.6720889467985644e-52","0.0008370981186692167","TPM"
"Ovarian Serous Adenocarcinoma","Ovarian serous cystadenocarcinoma(262)","Ovarian serous cystadenocarcinoma - Recurrent(4)","uc003kxv.2","8-Sep","0.014212080713634964","2.488826111134525e-52","0.0058529374679419256","TPM"
