"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002eqh.2","AF086125","0.25469665092463545","0","6.247132266364948e-16","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003phr.2","AF086303","0.04106922624812033","0","0.007045470021533327","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002vvo.1","AF279775","0.046996358739807294","0","0.000000045172501004178016","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002nrh.1","AK022793","0.049833020416918346","0","0.00002965598456793489","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003lpx.1","AK056780","0.023777844185816972","0","0.0000009239020306839402","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002fey.1","AK057218","0.008900974518381895","0","0.0006727065367435664","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002wfu.1","AK090681","0.009174378468402338","0","0.000017556828372223903","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc004bcy.1","AK093363","0.0021766172143851082","0","0.004100286379136253","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc001rfu.1","AK094733","0.005829858257612633","0","0.004731009755864439","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002qxh.1","AK095310","0.002163326836739305","0","0.005403512309717798","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc001tvk.1","AK096932","0.7831427884965146","0.019900585742987767","0.0005211883014754915","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003ewf.1","AK098763","0.001695916856728125","0","0.009303232994288767","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003lux.1","AK123816","0.003930178199337516","3.2048355584980004e-263","0.0025180175221354495","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003kbl.1","AK123868","0.020814767305490964","2.31855228335737e-66","0.003220648880938882","TPM"
