"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc001hms.2","1-Mar","10.091541301568737","4.8290708695693","0.004223541948147919","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc002jah.2","10-Mar","0.03943188932950857","8.526454880907866e-210","0.0000000000000674033748095084","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc002jag.3","10-Mar","0.02418948132423978","5.586466690490895e-53","0.00012235757996348855","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc003jfo.2","11-Mar","2.6106531062137717","0.042349750128592996","0.0000002687882857439827","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc011cca.1","11-Sep","0.04223385483022938","4.398293098355829e-159","0.0000003520698130906573","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc010ijh.1","11-Sep","0.02884531107234679","0","4.38346846555681e-17","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc002cxq.2","12-Sep","0.04016998335092627","0","0.0001155527216338551","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc003bbr.3","3-Sep","9.642851697652933","1.13211486563135e-71","1.0895104052735954e-36","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc003bbs.3","3-Sep","17.149707935813943","1.2107658320412332e-26","2.61559559305429e-69","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc002vgb.2","4-Mar","18.721623987471588","0.17540995773783186","0.00004418960206617786","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc002iwm.1","4-Sep","6.30558229870179","55.58667729898733","1.1862605446280197e-23","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc001jcg.1","8-Mar","1.2794332178513685","0.40829798100384407","0.002776353390486557","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc011cxi.1","8-Sep","6.0640456568823895","2.190568235078964e-30","6.754716121350154e-33","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc001spx.1","9-Mar","14.119417624665088","6.12114792761268","0.000017089609991554415","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc010wtm.1","9-Sep","0.2516859620259652","2.3433240459315833e-163","0.000004268196584463951","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc002qsd.3","A1BG","16.01825371987814","1.2775531196238366","0.0003410738776486971","TPM"
"Pheochromocytoma and Paraganglioma","Pheochromocytoma and Paraganglioma(179)","Pheochromocytoma and Paraganglioma (adjacent normal)(3)","uc001jji.2","A1CF","0.005659852983166123","0","0.00000023092150911671466","TPM"
