"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Prostate carcinoma","Prostate - Post(7)","Prostate - Pre(7)","ENST00000510795.1","BMPR1B-AS1","1.3619504285714286","18.01132857142857","0.008575370582335892","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000586061.1","AC006273.5","0.105914","3.44308","0.009911407832112504","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000458624.1","AC007009.1","7.073786666666667","0.052765","0.004184461829704113","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000537003.1","CD27-AS1","7.15261","0.036313","0.004361788670049593","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000592982.2","CEBPA-AS1","3.430706666666667","0.14104366666666668","0.002013037046150248","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000623723.1","CH507-39O4.2","25.208366666666667","0.496699","0.004635320745564466","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000565797.2","CTB-31O20.2","12.282833333333334","1.6969","0.009931667132357921","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000593427.1","CTC-444N24.11","20.412466666666663","6.530169999999999","0.004347052331559244","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000554687.1","CTD-2058B24.2","0.575123","134.50666666666666","0.0020693119691099996","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000577634.1","CTD-2354A18.1","0.06020366666666666","5.819636666666668","0.0053664439378951516","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000602919.1","CTD-2410N18.3","3.8369933333333335","0.040280333333333335","0.009927795798316971","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000618431.1","CTD-2506P8.6","4.044753333333333","0.410997","0.009407767201698178","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000583516.1","ESRG","0.6253226666666668","153.29233333333332","0.0021257626259402664","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000624543.1","LA16c-312E8.4","4.31239","0","0.0093943819601745","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000421767.1","LINC00174","2.948373333333333","0.24708633333333332","0.007887177837946275","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000622160.1","LINC00235","2.63083","0.21460733333333334","0.004411431175675956","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000591372.1","LINC00665","30.259433333333334","2.7885066666666667","0.00658987321448718","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000422847.1","LINC00857","0.039664","15.133033333333332","0.005703798252325084","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000473756.1","LINC00973","0.04668266666666667","9.759416666666668","0.002856599631338113","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000435813.4","LINC01468","0.069729","54.442366666666665","0.0009814559292487949","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000564194.3","LOXL1-AS1","0.4818773333333333","70.0282","0.004207088864530045","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000503529.1","MGC32805","0.060776","86.0621","0.0035113696076724005","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000602461.1","MIR222HG","0.05691633333333334","22.04903333333333","0.003347356827336398","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000432045.4","MIR29B1","0.615056","4.407356666666667","0.009568695390691303","FPKM"
"Prostate carcinoma","Prostate carcinoma - LNCaP, 6 hrs, SFN(3)","Prostate carcinoma - PC3, 6 hrs, DMSO(3)","ENST00000304425.3","MIR31HG","0.09376433333333334","7.80374","0.009401001203446863","FPKM"
