"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc009zgj.1","A2M-AS1","0.6117708008630337","3.204019866425611","0.00003966614763038114","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc009ypx.2","AB429224","0","0.0898593095866061","0.004011021115082993","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc003dml.2","ADAMTS9-AS2","0.12848329864203462","5.143187617337925","0.0000000069237376070367225","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc003aad.1","ADORA2A-AS1","0.011285975886405232","1.049775650183788","0.00039105592134655706","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc002xlx.2","AF143870","0","1.678993304584439","0.0006169667549785801","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc004cic.2","AF161442","0.3152258873397584","3.055882682653784","0.00001988376317954079","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc001kee.2","AGAP11","0.2292092353127558","1.962039888578278","0.0000003478692821083287","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc001kef.2","AGAP11","0.004303110619074584","0.0684460935391157","0.00706188904671901","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc003ups.2","AK001533","0.758328313292537","2.1250259302843757","0.0039242881325283014","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc001jjf.1","AK022382","0.5961874418708973","2.93223273944849","0.000336929159680366","TPM"
"Renal Cell Carcinoma","Kidney Chromophobe - Stage IV(6)","Kidney Chromophobe (adjacent normal)(25)","uc003qqi.1","AK022993","0.3108283239921455","0.9131434338222288","0.0000037309119383826955","TPM"
