"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000596170.1","AC005523.2","15.595933333333333","0.306094","0.009240610978136164","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000432268.1","AC017002.2","0.772593","14.210059999999999","0.009923445530024229","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000445083.1","AC019100.3","0.20034333333333332","70.78621999999999","0.005110153718444224","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000424355.1","AC023672.2","0.08848733333333332","37.566539999999996","0.0033501110911735893","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000499986.6","AC138035.2","0","0.11240920000000001","0.002493032975541121","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000429588.1","AP000695.6","0.39901499999999995","9.65912","0.008659373537255106","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000487977.1","C1orf132","0.5809216666666667","1.9011740000000004","0.008114552456437676","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000534991.3","C21orf119","1.5074433333333335","7.444602000000001","0.002746789311970611","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000605917.1","CASC15","0.194325","11.083666","0.007206014468713298","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000619488.1","CH507-24F1.2","0","3.175074","0.006885720499486505","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000615804.1","CH507-254M2.1","0","3.175074","0.006865468380370368","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000610988.1","CH507-254M2.2","0","3.175074","0.006825319442473465","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000623892.1","CH507-254M2.3","0.10265233333333335","4.416932","0.003992102091541728","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000608972.1","CTB-113D17.1","0.041739","1.3898918","0.007913561869847641","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000592187.1","CTD-2006C1.2","1.7865233333333332","8.529816","0.008380948174645002","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000508000.3","CTD-2015H6.3","0","0.3544738","0.00792693917833218","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000606319.1","CTD-2228K2.7","0.07574033333333334","13.959935999999999","0.004082604908631934","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000421572.1","DGCR5","0","33.35036","0.008304210736453516","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000454625.1","GS1-421I3.2","0","12.634296","0.0095443719668902","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000567598.1","HEXA-AS1","0","0.26251499999999994","0.002756703822043149","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000453677.1","KMT2E-AS1","0.5426266666666667","2.0132120000000002","0.009236273907302146","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000562811.1","LINC00622","0.08669900000000001","3.75653","0.007919886759216604","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000331096.2","LINC01405","173.01733333333334","1.0134884","0.0044979316329318885","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000581072.3","MIR133A1HG","43.24836666666667","3.2160740000000003","0.005908506655248884","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000439362.3","MIR4435-1HG","0.5251106666666666","18.584300000000002","0.007949770217732553","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000603310.3","MIR4435-1HG","0","79.16808","0.008807998975344344","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000412809.1","MYO16-AS2","0","9.314924000000001","0.00850330385961008","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000515734.2","PART1","0.045394666666666666","4.25662","0.007943061350914053","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000449648.1","PRKCQ-AS1","27.574633333333328","0","0.009065376015602802","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000566733.2","RP1-140K8.5","0.11889633333333333","43.68112","0.00889901697676489","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000550268.2","RP1-78O14.1","6.061256666666668","53.22016","0.008503018157437299","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000517658.1","RP11-10J21.4","0.323641","2.2767720000000002","0.009235154718170163","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000549373.1","RP11-115H15.2","0.20751","1.2543884","0.008548632687481562","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000560400.1","RP11-156E6.1","0.30722666666666665","3.1427140000000002","0.007918373101407273","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000431729.1","RP11-191N8.2","0.3717263333333333","83.52138","0.0076757261938810595","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000497961.1","RP11-242C19.2","0.039413","1.918192","0.00962017371892268","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000438738.1","RP11-268F1.3","0","0.26578359999999995","0.0095427459646664","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000610202.2","RP11-299H21.1","0","0.1692594","0.009879217058495565","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000555001.1","RP11-299L17.3","1.4336233333333332","26.862059999999996","0.005883380433667759","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000610146.1","RP11-336K24.12","0","0.43486519999999995","0.009504110242413788","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000589496.2","RP11-373L24.1","0.8370236666666667","4.256498000000001","0.009839673320490783","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000499715.2","RP11-380P13.1","0.215589","20.331380000000003","0.008878148936243741","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000441160.1","RP11-400N13.2","0.19052066666666667","44.569320000000005","0.007714220991147325","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000438158.1","RP11-400N13.3","2.62804","368.2402","0.002295580176311387","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000507517.1","RP11-44F21.3","0.04652766666666667","2.449976","0.00956052576328497","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000623582.1","RP11-463I20.1","0.071171","3.4364739999999996","0.005885201594842669","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000436672.1","RP11-554D15.3","0.04990366666666667","50.91028","0.008496659634861039","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000553141.1","RP11-611O2.5","3.743813333333333","18.70842","0.009510649417313465","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000432377.1","RP11-70C1.1","0.7689643333333334","8.538210000000001","0.009357803507722008","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000611026.1","RP11-717F1.2","0","3.175074","0.006845335042011511","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000514855.1","RP11-769N22.1","1.0842183333333333","9.121978","0.0021101207987776743","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000622940.1","RP11-803D5.1","0","0.6515093999999999","0.005714489268807628","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000603357.1","RP11-84C13.1","0.37804433333333337","18.87756","0.004249993004498621","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000608721.1","RP3-428L16.2","0.041692","2.125648","0.007140250065373155","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000412639.2","RP3-510D11.2","0.05349866666666667","2.786938","0.009233418282856093","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000623468.1","RP4-737E23.5","1.4637733333333334","0.063135","0.00993359000707839","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000470758.1","RP5-1002M8.4","0.20253233333333334","37.547959999999996","0.005634399842626401","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000592836.3","TTN-AS1","3.996","0.10175320000000002","0.009675062543794669","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000592182.3","TTN-AS1","90.22473333333333","3.4818400000000005","0.009608410699763646","FPKM"
"Sarcoma","Sarcoma(259)","Sarcoma - Recurrent(3)","uc010wuk.1","AATK-AS1","0.0055597455106935955","0","0.000054608122978392494","TPM"
"Sarcoma","Sarcoma(259)","Sarcoma - Recurrent(3)","uc001ign.2","ADARB2-AS1","0.06803677760322405","0","0.0004680420229241597","TPM"
"Sarcoma","Sarcoma(259)","Sarcoma - Recurrent(3)","uc003vds.2","AF086203","0.017767247324764344","0","0.000000006355839467487607","TPM"
"Sarcoma","Sarcoma(259)","Sarcoma - Recurrent(3)","uc003xhi.1","AF086219","0.028416965834899617","0","0.00020160396071179914","TPM"
"Sarcoma","Sarcoma(259)","Sarcoma - Recurrent(3)","uc011egv.1","AF086258","1.2133846563787076","0.06067617525946867","0.00005674855501672784","TPM"
