"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000481935.3","ABCD4","0.12886299999999998","2.439388","0.008470178174741407","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000569411.3","ABHD2","0.04634566666666667","104.43072","0.003966425032758541","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000355100.3","ABHD2","0.04181633333333334","8.072358","0.005601276265621848","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000478253.3","ABHD6","0.3615623333333333","10.960552","0.0030460686292265405","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000375888.3","ACBD5","4.1564499999999995","15.3019","0.009226745462999826","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000442452.1","ACHE","1.7557233333333333","0.1081726","0.0057537579508133135","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000340800.4","ACSL4","0.463096","10.299202","0.0030840431160235006","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000366684.5","ACTA1","4667.913333333333","15.767401999999999","0.003046003087430978","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000243349.10","ACVR1C","0.033396666666666665","0.9240512000000001","0.008532333242521678","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000606865.1","ACYP2","23.2941","0.467722","0.006715770720135982","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000448723.1","ADAM12","0","7.086032","0.009243217075068373","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000550422.3","ADCY6","0.21407866666666667","4.305042","0.008528437697959492","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000534464.1","ADM","0.30055566666666667","16.61254","0.008471489920963228","FPKM"
