"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002qsf.1","A1BG","0.09220760100634527","0.037522104975180035","0.000002191128613238968","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002qsg.2","A1BG-AS1","0.3868256771798736","0.14194051148837378","0.0000017576894043617936","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002qse.2","A1BG-AS1","2.300675852561107","0.9778768159152186","0.000004104733483783123","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003ggg.1","AB000466","4.931840565652156","1.8439669080121255","0.000000000001354846453914079","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc001ezm.1","AC2","0.047445062927418055","0.006870868433016722","0.000000002828570603293348","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003dml.2","ADAMTS9-AS2","0.030370387092624546","0.13073545706811004","0.0006069576509725622","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002avk.1","ADPGK-AS1","0.04775417002615721","0.021533269481677702","0.00934274210325477","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc001chr.2","AF086102","0.2750620483794366","0.14916157908559508","0.002288385108729405","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc011egv.1","AF086258","0.29960338737933645","0.0628391743145924","0.00019614501536191104","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002egj.2","AF143871","0.33849489140696226","0.5999094168190051","0.0031906604427955607","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003fjb.1","AF279780","0.7744617890174037","0.15402077557446683","0.00000011314484943946517","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003gkd.3","AFAP1-AS1","4.3160213276354185","0.04463086584701807","0.00000002875077330108397","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc001kef.2","AGAP11","0.05733026296534351","0.01658034185730999","0.0011792705234412336","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc001sps.3","AGAP2-AS1","23.732751449943272","9.878814044382027","0.000000000000025101503253433202","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003qeq.1","AJ606330","2.8307868189425527","0.6538285778574683","0.0000002626940989770277","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003ups.2","AK001533","0.6224129378081028","0.40311443089565524","0.0028068145666198764","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002uix.1","AK002090","0.16476225730539074","0.02009944635940779","0.007670058470408638","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002fcj.1","AK021563","0.559659181448095","0.14057218661556395","0.0000000003722876681363583","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc001dnu.1","AK022898","0.31863831133507664","0.12044201809702403","0.0009082395819853295","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002zks.3","AK022914","2.4449994926754774","0.15435798723533795","0.00000000000039718145526946343","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003qqi.1","AK022993","0.4022707165467778","0.24826820838177754","0.0003801922874332881","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003tha.1","AK023033","0.5150492227025412","0.03488554406093465","0.0000020231671920458473","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003yak.1","AK024242","0.4790178321671397","0.02363841330743207","0.00000023965756527155656","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003owm.1","AK024736","1.0422824699275446","0.18808773327967956","0.00000005850912528795427","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003pkm.2","AK024998","0.2983380402345099","0.030833207444849537","0.000000012547232573007147","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002dol.1","AK025061","0.058827769731762604","0.015346877410120054","0.00000010207822999670599","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc001bgg.1","AK025975","0.31292681583840526","0.1040665400481089","0.00005147963874386869","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc001aio.1","AK054708","0.08910062517857095","0.014117920152820223","0.0000013089242634438104","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc003lpb.1","AK054753","0.03811348313883081","0.07202674946131205","0.006405454937725944","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002igh.2","AK055254","0.28851473969234387","0.06641323559899823","0.000015481922644919063","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002bqr.1","AK055351","0.1350871433783724","0.05833172238754151","0.00006803067498712344","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002fch.1","AK055364","0.05324042397551567","0.013208109000894246","0.000000005552556054791564","TPM"
"Squamous cell carcinoma of the head and neck","Head and Neck squamous cell carcinoma - Stage III(76)","Head and Neck squamous cell carcinoma (adjacent normal)(43)","uc002wso.1","AK055550","0.03789260733885071","0.004302384496421905","0.009310361816839642","TPM"
