"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc009zgj.1","A2M-AS1","0.6838436496718954","3.5852973753390436","0.007717380253800903","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc003dml.2","ADAMTS9-AS2","0.09268705627032181","2.3567302813899604","0.00008234378807647015","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc002egj.2","AF143871","0","0.3226220966054234","0.002130661629703842","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc001kee.2","AGAP11","0.1360743949913029","1.6142583183429662","0.000019721566842897463","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc001kef.2","AGAP11","0","0.1087183753212653","0.0022847868766155146","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc003qgq.1","AJ606316","0.020127572044748996","0.12077778042270983","0.0007614605952308598","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc003luu.1","AK001582","0","0.022774754806010253","0.00034731454840151576","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc003qqi.1","AK022993","1.059134023804547","0.5087821638083215","0.00012834731746741922","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc003pkm.2","AK024998","2.8361615166948266","2.6052139580809657","0.006170134817307622","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc001hvz.1","AK054726","0","0.044528939713643946","0.0012322312379999222","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc001vmb.1","AK055459","0.05881796175652326","6.227947239459646","0.0000007991397497948263","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc001tma.2","AK055712","0.1917661691417","0.716724982038144","0.002667129984076873","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc001qlq.1","AK056228","0","0.025481854707620703","0.006128821245571651","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc001ezv.2","AK056431","0.025098252871689403","0.6428994105424854","0.0012679826339102513","TPM"
"Stomach Carcinoma","Stomach adenocarcinoma - Stage I(3)","Stomach adenocarcinoma (adjacent normal)(35)","uc002rqj.1","AK057187","0","0.03406333921664871","0.00023119603244608063","TPM"
