"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001vji.1","AK056689","0.21083320019444024","0.07133687845721252","0.007316253595584105","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001egj.3","ATP1A1OS","0.13797485238407448","0.013162323462411231","0.00803887673256803","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003mth.1","AX747750","0.44104822430100893","0.10624886841382315","0.005390893026324868","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003ftp.3","BC038368","0.010498057184299742","0","0.005391260068950867","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002zbk.1","BC041455","0.4350340910860897","0.037810214320320605","0.005395044767659862","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010qkm.1","BMS1P4","0.46308729861307535","0.005855114862985067","0.006107768664523485","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc009vov.1","CROCCP2","0.39276637168458645","2.57006372721455e-116","0.0009949996523749736","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001abt.3","FAM41C","1.165600096573759","0.5774553351965359","0.0076275666761398695","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001nzm.3","KCNK4","0.053705330077816076","4.209119548594149e-104","0.005547281854057227","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001ftm.1","LOC100131825","0.06156024864024139","0.0071499367180419505","0.002982944714879713","TPM"
