"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010buh.2","ABAT","0.18999169998959217","0.0020046843904754064","0.0005875694437647267","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003duj.2","ABI3BP","2.368396562861264","0.12121541850144484","0.009125959820003826","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001gmj.3","ABL2","0.39523541519063715","0.00000000000022075167878360601","0.004184257065921089","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003znz.1","ACER2","0.15108383511038143","1.4096005613559518e-168","0.008072378802677417","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003zqx.3","ACO1","0.5944972387261239","7.439441021187159e-53","0.001882329539361352","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010toh.1","ADCY4","0.6513958272185496","5.976716925697633e-31","0.0009951444128001301","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003hus.3","ADH1B","2.6604721257843194","0.08621279821741651","0.0029023059197420716","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003ecs.2","ADPRH","0.8768449620782538","0.154175546004737","0.006699896592504062","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001wqw.3","AP4S1","0.6425403380966423","7.102846430038103e-85","0.000001046614380326239","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003gvm.2","APBB2","0.3380900995537914","0.000000000029018087964779776","0.008297452968376941","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002amb.2","APH1B","1.4533186757344105","0.1364536518958435","0.004815798317923898","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003aoz.2","APOL2","21.18499242936174","10.111923277202521","0.007271185417564502","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003zsv.1","AQP3","0.5233022300025376","0.139328483308013","0.005023029823298676","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003zsx.2","AQP3","37.07379155839728","9.097567126502588","0.0016383569451837094","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002yel.2","ARFGAP1","0.8808105115677962","0.043227396730288","0.0014250550451630163","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010wea.1","ARL5C","0.07111695965446066","0","0.0006004768973400101","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002fvq.2","ASPA","1.2495718472777653","0.11510220708800484","0.009246887653810099","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010uyq.1","ATF7IP2","0.28612982518104174","0.016522730813908388","0.009691630664758696","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010tgv.1","ATP7B","0.9810578261217539","0.0636909692238725","0.006148864761874492","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001yae.3","ATXN3","0.09416102719920585","5.143317898819922e-24","0.0016056572063278584","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002lvo.1","AX747191","0.0924483309310878","0.00641890530846865","0.0030152167634223412","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002nfw.2","BABAM1","2.8761739803558446","0.0000004003292927718933","0.00116612438661837","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010usj.1","BC101079","0.0637042803192265","0","0.001007285422710714","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010jqh.1","BTN3A2","0.2058453251452148","3.9625796305421504e-22","0.007883314802838503","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002wer.3","C20orf202","0.2727236613440396","0.10556356991047071","0.00032412083241394545","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003ifq.1","C4orf29","0.3472979762891021","0.033353875512791946","0.00365742738102561","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc004bho.3","C9orf43","0.7807152436670216","0.228895958958561","0.00022346068155151204","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002kuz.2","CABYR","0.12440101975216529","0","0.009988708008489859","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002cku.2","CACNA1H","0.8629669248031593","0.006730385504999457","0.008561151692535678","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010xzi.1","CARD8","0.3935794309520045","0.04463297659664465","0.005020449324447013","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001vqz.2","CARKD","1.0627929997291077","2.060265814010606e-29","0.00016705382835008735","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010rvl.1","CASP1","0.29019222962517716","0.06683446683705786","0.0008833197579518022","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002uxo.1","CASP8","0.29950136842056024","0.001846965814217133","0.004624304434205391","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010tel.1","CCDC169","0.085666523586568","2.3447239737200168e-199","0.006120362372115932","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003dhz.2","CCDC66","1.8400087323208774","0.024535989780265225","0.0015890768478661816","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003cpl.1","CCR3","0.025465428559157847","0","0.0003091507019448826","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003zjf.2","CD274","0.48499174845805054","0.0380437126079815","0.006437778708574989","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002xrh.1","CD40","0.42265396046294196","1.9984749781234874e-168","0.0003390937428338899","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc002ybi.2","CDH26","0.09458190515718386","0.007259095268174233","0.008793201899361499","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc003pui.1","CDK19","0.7045916816273233","0.00388868028866169","0.0021979007672454994","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010rxk.1","CEP164","0.08084911593049918","0","0.005451136537194675","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc010ozo.1","CHD1L","0.48617725418143065","6.350776215924333e-71","0.0001525550373007988","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc011ccd.1","CNOT6L","0.7424999307541921","0.000000000012154112825328473","0.008289063929623646","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc001wqq.3","COCH","0.658364958574291","2.6438054038840496e-38","0.005064292247768725","TPM"
"Testicular Germ Cell Tumor","Testicular germ cell tumors - Stage IS(46)","Testicular germ cell tumors - Stage IIIB(6)","uc011avo.1","COL6A4P1","0.034778519374570084","0","0.008694137822742901","TPM"
