"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000422542.2","AC005682.5","8.205667142857141","0.13040380000000001","0.006295587480043061","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000436616.2","AC009948.5","11.416302857142858","0.210194","0.0017713817860275894","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000442200.1","AC103563.9","0.11803857142857142","7.5468519999999994","0.0018641551227928678","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000425645.1","AC107072.2","2.0631914285714283","41.4884","0.005761164320734897","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000624164.1","AP000432.3","5.745132857142857","0.6787872","0.009134931188321113","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000623539.1","AP000648.5","2.1259857142857146","0.24706959999999997","0.007761655217322226","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000511256.1","C5orf66-AS1","0.6608584285714285","59.727","0.0008674227484934988","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000623324.1","CH507-154B10.1","3.800334285714286","0.2730446","0.004859947768334688","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000624728.1","CH507-154B10.2","3.800334285714286","0.2730446","0.004836412912313697","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000624261.1","CH507-24F1.1","3.800334285714286","0.2730446","0.004848151778605721","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000523648.3","CTC-340A15.2","33.31168571428571","0.38102800000000003","0.0021382895593463746","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000566788.1","GLG1","2.329817142857143","0.18842940000000002","0.0007618608617483925","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000505089.4","LINC00504","34.5495","9.169902","0.006709674145495226","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000603308.1","LL22NC03-N64E9.1","16.869952857142856","0.6738508","0.008954165252196328","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000564194.3","LOXL1-AS1","3.9871200000000004","0.1370492","0.003648152757044298","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000619625.2","NUTM2B-AS1","2.09732","0.37773080000000003","0.0034868899023302834","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000610681.1","NUTM2B-AS1","2.1090157142857144","0.21338819999999997","0.006168293950162203","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000561916.2","PYCARDOS","1.3180185714285713","0","0.006656675954230458","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000550268.2","RP1-78O14.1","33.34274285714285","1.6361162","0.008762963467595824","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000607314.1","RP11-1002K11.1","13.131462857142859","0.37645720000000005","0.0018205605649662452","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000554519.1","RP11-1152H15.1","7.572905714285713","0","0.0035349845233071664","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000619996.1","RP11-137H15.3","0.6431095714285714","0","0.0044031341993854695","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000567714.1","RP11-274H2.5","0.545393","0","0.005760267487361684","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000561320.3","RP11-346D14.1","62.91155714285715","14.142026000000001","0.002027092365553773","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000400831.2","RP11-351J23.1","0.33603685714285714","17.762774","0.0014626104131855071","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000433644.2","RP11-435O5.2","1.8329400000000002","0.1518508","0.0051258319801528686","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000566232.1","RP11-56L13.1","0.19552571428571427","5.864044","0.0018398560386155545","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000569449.1","RP11-588K22.2","7.884602857142857","0.2925304","0.0061764666697995555","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000624842.1","RP11-635L1.2","4.644975714285714","0.215532","0.005889487097273665","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000400985.3","RP11-800A3.2","333.0756714285714","1.189246","0.0025448230303211916","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000472238.1","RP11-875H7.5","0.06574300000000001","1.4640039999999999","0.002158573885705071","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000437681.1","SNHG3","1611.2742857142857","3426.626","0.004696226336796168","FPKM"
"Esophageal carcinoma","Esophageal diseases(7)","Esophageal diseases - Normal(5)","ENST00000492937.1","TIPARP-AS1","2.4877142857142855","0","0.009947606465758825","FPKM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc009ypx.2","AB429224","5.598133233312634","0.2471046724901023","0.008914139069247084","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc003fjb.1","AF279780","0.1485775697238151","1.4566895364964865","0.00031661920702904107","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc003qeq.1","AJ606330","0.034142628622540784","2.2178428879363237","0.000823427078508202","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001dnu.1","AK022898","0.052763545259579485","0.44125040425953643","0.0017315578523746382","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc003yak.1","AK024242","0.10827628483710497","1.9274135240669181","0.00007017266442312645","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001hvz.1","AK054726","0.004196916247088638","0.10511419644228898","0.006640533123931599","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc002igh.2","AK055254","0.10401081070660458","0.5005790517355077","0.009283922812744122","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc002fmo.1","AK055272","0.37642242718172814","0.10768861496579571","0.0012457378594600615","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001qlq.1","AK056228","0.012252286430360663","0.20879217512542808","0.0033224903451153976","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc003fiz.1","AK056252","0.01058869798409464","0.26821321564334727","0.00040891006616368435","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001ezv.2","AK056431","0.1024170895046746","0.7423149974005646","0.0015284195608628896","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc003pce.2","AK056584","0.5215108196026779","3.8429871607654342","0.002969799568282222","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001mjn.1","AK056982","0.12223267457631955","1.5127257601839799","0.000152956122292974","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc003fto.1","AK091265","12.083412943033148","0.6565808643470213","0.0042701236954517914","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc003ezs.1","AK092619","0.09073572260424628","0.7797627664063033","0.005825179775788875","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc002lfu.1","AK093940","0.1094006643867345","0.7039729946608202","0.0095141650504001","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc004ere.1","AK094280","0.030196791341045","0.3262982405356384","0.0035526578108268174","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001qya.1","AK096314","0.2244381311726501","2.3061068169975285","0.0000007450079489440363","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001ggy.1","AK096329","0.02236285919058207","0.38473347645917516","0.000006313423722586991","TPM"
"Esophageal carcinoma","Esophageal carcinoma - Stage I(8)","Esophageal carcinoma - Stage IIA(39)","uc001nkt.1","AK096335","0.0440453272229206","0.2706559353455319","0.0024952208943560213","TPM"
