"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002tey.2","10-Sep","0.025089307599479603","2.254928574529293e-160","0.00242009496326196","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002cxr.2","12-Sep","0.018340669787275676","0","0.000025845936959673426","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc010gys.2","3-Sep","0.20764406107320327","9.617686153240135e-39","0.00000002083168710145916","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc010qno.1","5-Mar","0.032415318010482176","1.8873026518756702e-98","0.00020446722887423083","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc011cmv.1","6-Mar","0.3027658758111669","3.8596680869708015e-31","0.0007432748651265676","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc010for.2","7-Mar","0.2561099706988298","1.1473419703630358e-28","0.0005796099925221324","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003kxv.2","8-Sep","0.8664685236499424","0.025935977798625335","0.00006487411889170215","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc010qhn.1","A1CF","0.06543627573722774","3.4422049598698003e-68","0.00310613509479179","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc001jjh.2","A1CF","0.060549773205786854","9.643167662132202e-131","0.003564256021385346","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc001qvb.1","A2ML1","0.32846116832967703","0","0.0013500421319240894","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc001qva.1","A2ML1","0.5033582517211368","0.0031565123083397797","0.0000958955388599565","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc010sgm.1","A2ML1","2.1970977868710886","1.00261611571889e-213","0.0000001915769948873627","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc001quz.3","A2ML1","2.3890424721378962","0.008862473831685468","0.0000015482715721291576","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc001auf.2","AADACL4","0.014154623640875705","0","0.0004117806017776338","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003iss.2","AADAT","0.2915248920535819","5.001195479944933e-21","0.000000008400710802083277","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003hbq.1","AASDH","0.023034659880212183","0","0.000000035664200188947995","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc010rvn.1","AASDHPPT","0.29560678488476694","5.6927845490775754e-18","0.000000024525018633105292","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc009yzi.1","AB231711","0.486633185359577","0","0.005771369662808234","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002vev.2","ABCA12","0.5304196635050307","0.02630259708405137","0.00000006605541260371391","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc002vew.2","ABCA12","0.188324412165667","2.152262862089316e-42","0.0000000004844845942332872","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003tos.1","ABCA13","0.0966448433321976","0.0044964162221327085","0.00000012085099115720142","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003toq.2","ABCA13","0.09515290553227186","0.006026555839867943","0.000000031706822290668114","TPM"
"Pancreatic carcinoma","Pancreatic adenocarcinoma - Stage IIB(114)","Pancreatic adenocarcinoma - Stage IIB (adjacent normal)(3)","uc003sux.1","ABCB5","0.0032798150451032516","0","0.007808250709244167","TPM"
