"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000499762.2","A2M-AS1","1.2712894687499998","2.337129588235294","0.00004657076707635504","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000449652.1","AC000036.4","0.044307125","0.21812014705882352","0.0002794938762294688","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000608816.1","AC000068.10","0.6324511875","0.2402824117647059","0.004090732626998863","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000607934.1","AC000068.9","7.929615625000001","4.493482941176472","0.00013888467198507225","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000613696.1","AC000403.4","0.30108528125","0.4768519411764706","0.00017567191927489882","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000439070.1","AC002066.1","0.34425350000000005","1.2199322941176467","0.00000011225020067793669","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000586962.1","AC002116.7","0.5930512187499999","0.24231041176470586","0.006018886963545998","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000473572.2","AC002116.8","5.7939925","3.278612205882353","0.003662001265323352","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000457283.3","AC002310.12","0.9467040625","0.5361322352941177","0.0030422611127368755","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000443373.1","AC002331.1","1.4262597187499995","0.21153447058823527","0.004058394440646426","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000416502.3","AC002451.3","0.3318157499999999","0.9642909117647058","0.000016094275738832133","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000432265.1","AC002451.3","0.0181114375","0.12423735294117648","0.003984457834726249","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000433005.1","AC003075.4","0.8312365625000001","1.5780617647058826","0.0014757576618149356","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000456777.3","AC003090.1","0.14216006250000002","0.9095809117647061","0.000000004706088536532793","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000446840.3","AC003090.1","0.4668414375000001","1.6357564705882353","0.00000004835458822627926","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000588097.3","AC003102.3","0.228768125","0.02072705882352941","0.001413664859257057","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000608733.1","AC004067.5","1.2589473750000002","0.7923748235294118","0.0039753801666167895","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000624829.1","AC004158.2","0.137153875","0.011497382352941177","0.00010305523544186568","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000561611.2","AC004158.2","0.19040909375000004","0.01052864705882353","0.0012217386432821346","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000585593.1","AC004490.1","0.03322678125","0.12432391176470586","0.0052582297762573576","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000451264.1","AC004540.4","0.34662446875","1.736720911764706","0.0000023997816469621875","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000451368.1","AC004540.4","1.6239798749999999","4.869663176470588","0.00000002706458856472624","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000439120.1","AC004540.5","0.95285784375","1.8222722352941174","0.0014891401123797395","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000435766.1","AC004837.5","0.5599780624999999","0.26114491176470583","0.0006149158388839425","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000468960.2","AC004893.11","0.27254399999999995","0.9241946176470586","0.00269295066096849","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000420912.1","AC004947.2","0.11374946875000001","0.5243842647058824","0.00000522438092287422","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000442666.1","AC005042.4","1.5687495624999999","0.517809617647059","0.004812557820493939","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000430859.1","AC005083.1","4.145463968749999","1.4131711470588233","0.006817458787971936","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000414896.1","AC005104.3","3.8610203125000004","2.267513705882353","0.00014819713770175826","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000355837.4","AC005154.6","0.84164596875","0.5399917352941176","0.002108911226504607","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000454922.4","AC005154.6","1.5558890624999997","0.7975904705882353","0.00026705169232840394","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000580440.3","AC005154.6","4.36394084375","2.1428718529411763","0.00007639155407447687","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000592934.1","AC005256.1","0.25666671875","0","0.00517966083010508","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000587587.1","AC005264.2","0.1018393125","0.25286158823529414","0.0015646844413073403","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000601192.1","AC005523.2","6.652707187500001","9.088778529411764","0.00014995782921158255","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000623215.1","AC005538.3","3.6798799999999994","0.619100882352941","0.0000000024221863629357056","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000432668.1","AC005682.5","1.84425603125","0.7284477058823529","0.004044113651050125","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000422542.2","AC005682.5","1.12599978125","1.8963278529411758","0.0066486343841088156","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000415611.5","AC005682.5","0.7568395937499999","1.2224288823529414","0.009222596294644237","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000607378.1","AC005740.6","0.5523946875000001","1.1358155294117644","0.0020570901586555767","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000589360.1","AC005786.7","3.713431656249999","0.3155554705882353","0.0028691731253601607","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000588453.1","AC005789.11","0.69630784375","0.16689364705882356","0.0003710047546046882","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000449931.1","AC006042.6","1.5598313750000001","0.656816411764706","0.003965727987386984","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000421965.1","AC006159.4","0.013911218749999999","0.2804020294117647","0.0005159868788678477","FPKM"
"Lung adenocarcinoma","Lung adenocarcinoma - Smoker(32)","Lung adenocarcinoma - Normal Never smoker(34)","ENST00000606966.1","AC006273.4","0.24485187499999997","0.6690662058823529","0.000968500478983874","FPKM"
