"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002qse.2","A1BG-AS1","4.661761983129929","2.9179610392535498","0.0000009287491693412383","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002qsg.2","A1BG-AS1","1.0077006738919871","0.663070165684026","0.00014320629844493367","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc009zgj.1","A2M-AS1","0.8817479948338224","2.0610849661245876","1.0470032976740391e-17","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003cie.1","ACVR2B-AS1","1.3488857387134772","2.096699451839359","0.00000028727750987531234","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002kes.2","AF075112","0.5918222265658271","1.9852149283803373","0.0000000028879135638433263","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001chr.2","AF086102","0.44116762603792253","0.8564455627941301","0.000000000013972831023377708","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc011egv.1","AF086258","0.7570129332252419","0.22067342153007855","0.00001651610697885999","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001txf.2","AF086288","7.363287414728058","3.66350128418164","0.000002337821892766892","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc004cic.2","AF161442","1.0677645187262628","1.4405332851182686","0.0026840895361871517","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002vvo.1","AF279775","0.01352115402309043","0.0360071886960789","0.006202333830152768","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003fjb.1","AF279780","0.01290470938726838","0.004284142362474098","0.0033022294732588256","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003bqj.1","AF279782","0.004369792569082638","0.029749637095138323","0.0035650965897396397","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001kef.2","AGAP11","0.03328364511636161","0.06625441690780867","0.008954584575236065","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001kee.2","AGAP11","0.878201384576806","1.704307173733008","0.000000013737215702141503","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001sps.3","AGAP2-AS1","3.173464800521682","2.3155189993393765","0.007126792363517799","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001juu.3","AGAP5","0.3563160668493949","0.7809791769463567","0.00000007123871559304283","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003qes.1","AJ606328","0.001039343595556333","0.017306560601279313","0.0015885784775413478","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003qev.1","AJ606331","0.07006082436289805","0.02457120489956342","0.00000000006642762342147523","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003ups.2","AK001533","1.2349554402387712","2.2725756646300743","0.000000000009268392251699496","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003luu.1","AK001582","0.14676370255558552","0.05881177787090272","0.00967722405931078","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002fcj.1","AK021563","0.41966528847193424","0.9139244183318419","0.000000001927782707955124","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002esn.1","AK021876","1.4399342496636787","0.34860024430072506","2.0345119341080005e-29","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001jjf.1","AK022382","1.1945967909076944","2.532336987417614","0.0000000000038945011316271266","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002nrf.2","AK022793","0.2414279373569118","0.09591926078503292","0.0000010594505136935984","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc001dnu.1","AK022898","0.4086030236614901","1.1335563309267704","2.0701190475958976e-23","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002zks.3","AK022914","0.47600134907232255","0.0588150250789505","0.00000000011153330911561048","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc003qqi.1","AK022993","0.8588727965104722","1.6851379983641424","0.000000000000006180144596288772","TPM"
"Thyroid carcinoma","Thyroid carcinoma - Stage III(112)","Thyroid carcinoma (adjacent normal)(59)","uc002nrc.1","AK023040","3.60903383199599","6.438494269208529","0.0000000016562098555200806","TPM"
