"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010uju.1","AAGAB","2.8682872767563707","0.00000017388328661429153","0.009252011046032998","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003uxd.2","ACHE","0.31133011462443194","2.0421364547779146e-64","0.009733558052577229","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003nab.2","ADTRP","6.820829275167594","0.6084056067610047","0.006184576978283473","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001jkv.2","ANK3","2.611854801846983","0.3622245686835189","0.0027848095478643564","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc011lii.1","ATAD2","1.0128314033159298","0.008030688967361485","0.009216238189748597","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003wwb.1","AX747590","0.43770176433111385","0.09931798651147739","0.009168855523829445","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010rpg.1","BBS1","0.9587655807839678","0.004120362692481576","0.006582908516278437","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010skd.1","BICD1","0.25241118676444985","0.015062866747516833","0.004029742201427824","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001kdy.2","BMPR1A","5.78358250888678","10.06857809670774","0.009196425064712884","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010qik.1","C10orf107","1.1522827805721334","0.07767015780310303","0.0012275894624663012","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003dkr.1","C3orf67","0.019873571125155174","0.0019528210189341288","0.008879479980776376","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003jmx.3","CCDC152","1.0583184096121452","0.025907262922934143","0.009689335882836478","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001nfp.2","CELF1","3.212323708906716","5.390834379523918","0.009807028639717157","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001nfl.2","CELF1","1.4894340071499952","4.768768148960784","0.006531358767716047","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001xhv.1","CHURC1","3.992094604235785","6.87318889084903","0.008763385776821887","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc009zga.1","CLEC4A","0.48412476110067737","0.021279412128052348","0.003614249031478828","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010pef.1","CREB3L4","0.6556497582841526","0.05309014928315374","0.008997518277816396","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010ghx.2","CSE1L","0.524206541744804","1.478773887015291e-48","0.006242328941014682","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc009ynn.2","CYB561A3","0.9737003074427366","0.00636272429949711","0.001324914417040513","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003bcg.2","CYP2D7P1","0.29236971001728224","0.04417568607978284","0.0060114162741391405","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc002rce.2","DDX1","59.62414281081044","77.06860595835141","0.006969988417625811","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc002olw.2","DLL3","0.5419416341279327","0.03411397538161137","0.001982104353511804","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001aws.2","DNAJC16","1.9086036107845288","3.806369008637337","0.002304645754104027","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc002hyp.2","DNAJC7","0.5238944903605893","1.0696849234717262e-23","0.005555963652620172","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc011bnv.1","EIF2A","0.46988464073235625","1.2812035642920557e-35","0.006323994686470778","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001evf.2","ENSA","2.108773222686342","0.00000002701722947576639","0.002778681785631194","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010rej.1","FBXO3","2.0467543183419394","0.00000002444689856628171","0.001211837172725257","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003xjc.2","FUT10","0.4538036556386681","0.018612904324322294","0.002880890323374654","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003lvh.2","GALNT10","13.76864652815595","36.599611928336664","0.009019039220595805","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001dyk.2","GSTM1","19.551907946624144","0.03304708597692256","0.00012940742883773413","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001xve.1","GTF2A1","10.316868191629759","14.306546870292873","0.004021652119652002","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010qad.1","GTPBP4","1.4372709888028425","0.011909613826655036","0.008439181294192565","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003ank.2","HMGXB4","1.632406487931262","2.828358411736571","0.004819055304926759","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc002mcq.2","HSD11B1L","0.42388391638221995","0.0000457913486078289","0.00920385437483596","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001aml.2","ICMT","2.7161537104474474","4.471120062805684","0.008905624643698238","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc011edm.1","IFNGR1","6.60378393469002","0.00000015850759155944004","0.005361391897082745","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc003vmy.2","IMPDH1","0.677974738038417","0.029826518806329572","0.009139943477000628","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001xeh.3","JKAMP","3.791032859273028","8.513698415552042","0.0011578367407155154","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc010hiq.2","KIF15","0.459149314731755","0.03909256942452927","0.009539786549654417","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc002puq.1","KLK8","1.1295335335758085","0.046836707516104574","0.0023659264948914394","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc002put.1","KLK8","3.3794729167412956","0.10338119835097871","0.00044701176650209723","TPM"
"Mesothelioma","Mesothelioma - Stage III(44)","Mesothelioma - Stage I(7)","uc001hxw.1","LGALS8","3.218065268840438","0.10646427279668928","0.008799992021092566","TPM"
