"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000414089.3","AATK-AS1","0.08509424999999998","0.007514025641025641","0.00390161032840298","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000624029.1","AC000123.2","0.41941955555555555","0.7136401025641026","0.0015692658318455614","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000623124.1","AC000123.3","3.6577488888888903","5.610189743589743","0.0023119737187193043","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000418215.1","AC000123.4","2.7083996388888885","4.345114615384616","0.0005554382467999512","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000613696.1","AC000403.4","0.4244515833333334","0.1619714615384615","0.009844823041291806","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000624451.1","AC002310.14","1.5558273888888887","2.290213025641026","0.0005297756495300291","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000589397.1","AC002398.13","2.4762692222222222","4.481814846153846","0.0010920542044367835","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000412669.1","AC002456.2","0.6280516111111112","1.4383121025641026","0.00740955550025002","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000415965.3","AC002456.2","1.956441638888889","7.218064282051282","0.0026226921548671077","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000588097.3","AC003102.3","0.5411878888888889","0.17361246153846155","0.00021695596289435476","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000608733.1","AC004067.5","1.4888617500000005","2.625029871794872","0.002624786418466969","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000564508.2","AC004158.3","5.304158333333333","3.9100392564102573","0.009300635739154477","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000425668.1","AC004603.4","0.5841941944444443","0.0339538717948718","0.00001494146889440731","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000447643.1","AC004951.6","1.9423872222222225","3.4793851282051285","0.0004438358769354147","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000439058.3","AC005083.1","0.04292702777777778","0.245816","0.003980152482591701","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000430908.4","AC005152.3","0.20196475000000003","0.7513253846153846","0.003766864962379467","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000584621.3","AC005154.6","1.1805356666666669","2.3081341282051286","0.0018620594141180767","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000355837.4","AC005154.6","0.6874476944444445","1.0831489487179486","0.001031365635269637","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000587498.1","AC005306.3","4.134510638888888","6.755180512820513","0.0005578299613093281","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000433873.1","AC005324.6","0.30164611111111117","0.04324494871794872","0.0012434192033762203","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000590086.2","AC005330.2","1.5372686111111111","0.8129494358974358","0.00029306856470726544","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000448131.1","AC005518.2","0.06919752777777777","0.007380974358974359","0.006383922211924085","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000447039.1","AC005532.5","0.19953791666666668","0.46727492307692303","0.00905781023359922","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000398849.4","AC005562.1","1.7879809166666665","3.1026294871794877","0.000014150855505927915","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000515288.1","AC005592.2","0.21254497222222224","0.6497923589743587","0.00029416154264007163","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000606901.1","AC005618.6","1.151029805555556","2.062209641025641","0.0003977064541888343","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000422542.2","AC005682.5","0.26708361111111106","0.7550044615384613","0.0005569429111138122","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000432668.1","AC005682.5","0.47776186111111113","1.620033282051282","0.000010754263635833878","FPKM"
"Glioma","Glioma - Stage non-enhancing FLAIR+ Sample(36)","Glioma - Stage contrast-enhancing sample(39)","ENST00000415611.5","AC005682.5","0.1869906111111111","0.5017366923076924","0.001199702895972251","FPKM"
